  0.83   0.96   0.97   0.92 N/A   0.82   0.78   0.82   0.98 N/A   0.99   0.73   0.96 N/A   0.90   0.79   0.73 N/A   0.73   0.84   0.97   0.90   0.92   0.74 N/A N/A   0.88 N/A N/A N/A N/A   0.79 N/A   0.87 N/A   0.92   0.75   0.94   0.96   0.71 N/A   0.75   0.88   0.84   0.88   0.71 N/A N/A   0.91 N/A N/A   0.95 N/A   0.96 N/A N/A N/A 
  0.87   0.72   0.81   0.84 N/A N/A N/A   0.82   0.72   0.81   0.78   0.99   0.80 N/A N/A   0.89 N/A N/A N/A   0.77 N/A   0.79   0.79 N/A N/A N/A N/A N/A N/A N/A N/A   0.85   0.73 N/A   0.86 N/A N/A   0.78   0.87   0.87   0.80 N/A   0.75   0.95   0.83   0.84 N/A N/A   0.73 N/A N/A   0.85 N/A   0.76   0.82 N/A   0.77 
N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A 
N/A N/A N/A N/A N/A N/A N/A N/A N/A   0.87 N/A N/A N/A   0.94 N/A N/A N/A   0.84 N/A N/A N/A N/A N/A N/A   0.75 N/A N/A   0.83 N/A N/A N/A   0.79   0.84 N/A   0.71   0.77 N/A N/A N/A   0.82 N/A N/A   0.88   0.82 N/A   0.83 N/A N/A N/A N/A   0.77 N/A   0.78 N/A   0.82   0.72   0.83 
  0.96   0.93   0.88   0.95 N/A   0.80   0.70   0.94   0.92   0.81   0.92   0.89   0.93   0.83   0.97   0.94 N/A   0.71   0.77   0.88   0.91   0.94   0.94   0.96 N/A N/A   0.91   0.74 N/A   0.70 N/A   0.96   0.73   0.86   0.91   0.93   0.83   0.86   0.97   0.95   0.81   0.90   0.80   0.93   0.94   0.93   0.82 N/A   0.94 N/A   0.94   0.94 N/A   0.91   0.88   0.91   0.84 
  0.98   0.95   0.97   0.97 N/A   0.81   0.73   0.96   0.93   0.84   0.95   0.84   0.95   0.85   0.98   0.99 N/A   0.76   0.80   0.90   0.95   0.97   0.95   0.98 N/A N/A   0.94   0.76 N/A   0.75 N/A   0.97   0.77   0.89   0.89   0.98   0.85   0.82   0.96   0.97   0.80   0.91   0.84   0.85   0.96   0.90   0.87 N/A   0.98   0.73   0.96   0.97 N/A   0.97   0.87   0.94   0.87 
N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A   0.99 N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A 
N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A 
N/A   0.73 N/A N/A N/A   0.75   0.75 N/A N/A N/A   0.71 N/A   0.72 N/A N/A N/A N/A N/A   1.00   0.80 N/A N/A N/A   0.75 N/A N/A N/A N/A N/A N/A   0.70 N/A N/A N/A N/A N/A   0.76 N/A N/A N/A N/A N/A N/A N/A   0.71 N/A   0.79 N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A 
  0.81   0.89   0.80   0.83 N/A   0.74   0.72   0.82   0.89 N/A   0.89   0.90   0.83 N/A   0.79 N/A N/A N/A   0.75   0.98   0.91   0.74   0.77 N/A N/A N/A   0.81 N/A N/A N/A N/A   0.71 N/A   0.80 N/A   0.79   0.81   0.85   0.77   0.88   0.82   0.78   0.74   0.70   0.92   0.82   0.74 N/A   0.74 N/A N/A   0.82 N/A   0.83 N/A N/A N/A 
