0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0	0	0	0	0.915	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.001	0.001	0	0	0.467	0.467	0	0	0.001	0.001	0	0	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.025	0.005	0	0	0.025	0.005	0	0	0.025	0.005	0	0	0.025	0.005	0	0	0.16	0.005	0	0	0.16	0.005	0	0	0.16	0.005	0	0	0.16	0.005	0	0
0	0	0	0	0.02	0.016	0	0	0	0	0	0	0.02	0.016	0	0	0	0	0	0	0.088	0.016	0	0	0	0	0	0	0.088	0.016	0	0
0.016	0	0	0	0.516	0	0	0	0.016	0	0	0	0.097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.078	0	0.102	0	0.078	0	0.666	0	0.02	0	0.02	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.288	0.002	0	0	0	0	0	0	0.337	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.598	0	0	0	0	0	0	0	0.253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REC#3																															
0.362	0.992	0	0	0.362	1	0	0	0.029	0.029	0	0	0.029	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.075	0.075	0	0	0.075	0.075	0	0	0.075	0.075	0	0	0.075	0.075	0	0	0.382	0.993	0	0	0.382	0.993	0	0	0.382	0.993	0	0	0.382	0.993	0	0
0	0	0	0	0.072	0.072	0	0	0	0	0	0	0.072	0.072	0	0	0	0	0	0	0.382	0.993	0	0	0	0	0	0	0.382	0.993	0	0
0	0	0	0	0.103	0	0.972	0	0	0	0	0	0.034	0	0.034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.102	0	0.977	0	0.102	0	0.977	0	0.028	0	0.028	0	0.028	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.358	0.998	0	0	0	0	0	0	0.358	0.998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.977	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.376	0.995	0	0	0.376	0.995	0	0	0.038	0.038	0	0	0.038	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.086	0.086	0	0	0.086	0.086	0	0	0.086	0.086	0	0	0.086	0.086	0	0	0.351	0.967	0	0	0.351	0.977	0	0	0.351	0.967	0	0	0.351	0.977	0	0
0	0	0	0	0.067	0.067	0	0	0	0	0	0	0.067	0.067	0	0	0	0	0	0	0.386	0.972	0	0	0	0	0	0	0.386	0.972	0	0
0	0	0	0	0.104	0	0.963	0	0	0	0	0	0.026	0	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.086	0	0.927	0	0.086	0	0.927	0	0.027	0	0.027	0	0.027	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.376	0.997	0	0	0	0	0	0	0.376	0.996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.976	0	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
